location,population,total_death_count,death_percentage
United States,332915074,797346,0.2395
Brazil,213993441,616457,0.2881
India,1393409033,475636,0.0341
Mexico,130262220,296620,0.2277
Russia,145912022,283815,0.1945
Peru,33359415,201770,0.6048
United Kingdom,68207114,146896,0.2154
Indonesia,276361788,143936,0.0521
Italy,60367471,134831,0.2234
Iran,85028760,130722,0.1537
Colombia,51265841,129107,0.2518
France,67564251,121416,0.1797
Argentina,45605823,116771,0.256
Germany,83900471,105758,0.1261
Ukraine,43466822,96695,0.2225
South Africa,60041996,90137,0.1501
Poland,37797000,88479,0.2341
Spain,46745211,88381,0.1891
Turkey,85042736,79151,0.0931
Romania,19127772,57696,0.3016
Philippines,111046910,50280,0.0453
Chile,19212362,38600,0.2009
Hungary,9634162,36429,0.3781
Czechia,10724553,34451,0.3212
Ecuador,17888474,33558,0.1876
Malaysia,32776195,30879,0.0942
Canada,38067913,29964,0.0787
Bulgaria,6896655,29536,0.4283
Pakistan,225199929,28836,0.0128
Bangladesh,166303494,28028,0.0169
Vietnam,98168829,27839,0.0284
Belgium,11632334,27504,0.2364
Tunisia,11935764,25432,0.2131
Iraq,41179351,23978,0.0582
Thailand,69950844,21171,0.0303
Egypt,104258327,21060,0.0202
Netherlands,17173094,20568,0.1198
Bolivia,11832936,19317,0.1632
Greece,10370747,19248,0.1856
Myanmar,54806014,19183,0.035
Portugal,10167923,18658,0.1835
Japan,126050796,18369,0.0146
Kazakhstan,18994958,18005,0.0948
Paraguay,7219641,16500,0.2285
Guatemala,18249868,16044,0.0879
Slovakia,5460726,15354,0.2812
Sweden,10160159,15191,0.1495
Morocco,37344787,14796,0.0396
Sri Lanka,21497306,14614,0.068
Austria,9043072,13162,0.1455
Bosnia and Herzegovina,3263459,12918,0.3958
Georgia,3979773,12731,0.3199
Serbia,6871547,12178,0.1772
Jordan,10269022,11982,0.1167
Switzerland,8715494,11749,0.1348
Croatia,4081657,11619,0.2847
Nepal,29674920,11554,0.0389
Honduras,10062994,10415,0.1035
Moldova,4024025,9368,0.2328
Saudi Arabia,35340680,8853,0.0251
Lebanon,6769151,8848,0.1307
Cuba,11317498,8313,0.0735
Israel,9291000,8216,0.0884
Azerbaijan,10223344,8088,0.0791
Armenia,2968128,7802,0.2629
North Macedonia,2082661,7732,0.3713
Panama,4381583,7386,0.1686
Costa Rica,5139053,7332,0.1427
Afghanistan,39835428,7328,0.0184
Lithuania,2689862,6974,0.2593
Ethiopia,117876226,6829,0.0058
Algeria,44616626,6145,0.0138
Uruguay,3485152,6145,0.1763
Ireland,4982904,5788,0.1162
Libya,6958538,5553,0.0798
Slovenia,2078723,5408,0.2602
Kenya,54985702,5348,0.0097
Belarus,9442867,5276,0.0559
Venezuela,28704947,5239,0.0183
Palestine,5222756,4830,0.0925
Zimbabwe,15092171,4738,0.0314
China,1444216102,4639,0.0003
Latvia,1866934,4375,0.2343
South Korea,51305184,4293,0.0084
Dominican Republic,10953714,4218,0.0385
Oman,5223376,4113,0.0787
El Salvador,6518500,3795,0.0582
Zambia,18920657,3670,0.0194
Namibia,2587344,3577,0.1382
Uganda,47123533,3268,0.0069
Sudan,44909351,3208,0.0071
Albania,2872934,3134,0.1091
Denmark,5813302,3027,0.0521
Kosovo,1782115,2987,0.1676
Cambodia,16946446,2985,0.0176
Nigeria,211400704,2981,0.0014
Syria,18275704,2814,0.0154
Kyrgyzstan,6628347,2770,0.0418
Kuwait,4328553,2466,0.057
Jamaica,2973462,2425,0.0816
Botswana,2397240,2421,0.101
Trinidad and Tobago,1403374,2407,0.1715
Montenegro,628051,2350,0.3742
Malawi,19647681,2308,0.0117
United Arab Emirates,9991083,2151,0.0215
Australia,25788217,2106,0.0082
Mongolia,3329282,2036,0.0612
Yemen,30490639,1971,0.0065
Mozambique,32163045,1944,0.006
Senegal,17196308,1886,0.011
Estonia,1325188,1852,0.1398
Cameroon,27224262,1823,0.0067
Angola,33933611,1737,0.0051
Uzbekistan,33935765,1436,0.0042
Finland,5548361,1421,0.0256
Bahrain,1748295,1394,0.0797
Rwanda,13276517,1344,0.0101
Somalia,16359500,1333,0.0081
Eswatini,1172369,1250,0.1066
Ghana,31732128,1243,0.0039
Suriname,591798,1177,0.1989
Norway,5465629,1136,0.0208
Democratic Republic of Congo,92377986,1118,0.0012
Guyana,790329,1020,0.1291
Madagascar,28427333,980,0.0034
Luxembourg,634814,890,0.1402
Mauritania,4775110,849,0.0178
Taiwan,23855008,848,0.0036
Singapore,5453600,794,0.0146
Haiti,11541683,758,0.0066
Tanzania,61498438,734,0.0012
Bahamas,396914,708,0.1784
Cote d'Ivoire,27053629,706,0.0026
Fiji,902899,697,0.0772
Lesotho,2159067,664,0.0308
Mali,20855724,629,0.003
Qatar,2930524,613,0.0209
Cyprus,896005,610,0.0681
Belize,404915,588,0.1452
Papua New Guinea,9119005,586,0.0064
Malta,516100,470,0.0911
Guinea,13497237,388,0.0029
Congo,5657017,359,0.0063
Cape Verde,561901,351,0.0625
Gambia,2486937,342,0.0138
Burkina Faso,21497097,290,0.0013
Liberia,5180208,287,0.0055
Saint Lucia,184401,283,0.1535
Gabon,2278829,282,0.0124
Niger,25130810,268,0.0011
Maldives,543620,258,0.0475
Barbados,287708,251,0.0872
Laos,7379358,247,0.0033
Togo,8478242,243,0.0029
Mauritius,1273428,240,0.0188
Nicaragua,6702379,214,0.0032
Hong Kong,7552800,213,0.0028
Grenada,113015,200,0.177
Djibouti,1002197,189,0.0189
Chad,16914985,181,0.0011
Equatorial Guinea,1449891,175,0.0121
Benin,12451031,161,0.0013
Comoros,888456,151,0.017
Guinea-Bissau,2015490,149,0.0074
Andorra,77354,133,0.1719
South Sudan,11381377,133,0.0012
Seychelles,98910,129,0.1304
Tajikistan,9749625,125,0.0013
Timor,1343875,122,0.0091
Sierra Leone,8141343,121,0.0015
Antigua and Barbuda,98728,117,0.1185
Central African Republic,4919987,101,0.0021
Brunei,441532,98,0.0222
San Marino,34010,94,0.2764
Saint Vincent and the Grenadines,111269,77,0.0692
Liechtenstein,38254,67,0.1751
Eritrea,3601462,63,0.0017
Sao Tome and Principe,223364,57,0.0255
New Zealand,5122600,47,0.0009
Dominica,72172,42,0.0582
Burundi,12255429,38,0.0003
Monaco,39520,36,0.0911
Iceland,343360,35,0.0102
Saint Kitts and Nevis,53546,28,0.0523
Bhutan,779900,3,0.0004
Vanuatu,314464,1,0.0003
Anguilla,15125,0,0
Aruba,107195,0,0
Bermuda,62092,0,0
Bonaire Sint Eustatius and Saba,26445,0,0
British Virgin Islands,30423,0,0
Cayman Islands,66498,0,0
Cook Islands,17572,0,0
Curacao,164796,0,0
Faeroe Islands,49053,0,0
Falkland Islands,3528,0,0
French Polynesia,282534,0,0
Gibraltar,33691,0,0
Greenland,56868,0,0
Guernsey,63385,0,0
Isle of Man,85410,0,0
Jersey,101073,0,0
Kiribati,121388,0,0
Macao,658391,0,0
Marshall Islands,59618,0,0
Micronesia (country),116255,0,0
Montserrat,4981,0,0
Nauru,10873,0,0
New Caledonia,288217,0,0
Niue,1614,0,0
Northern Cyprus,0,0,0
Palau,18174,0,0
Pitcairn,47,0,0
Saint Helena,6095,0,0
Samoa,200144,0,0
Sint Maarten (Dutch part),43421,0,0
Solomon Islands,703995,0,0
Tokelau,1368,0,0
Tonga,106759,0,0
Turkmenistan,6117933,0,0
Turks and Caicos Islands,39226,0,0
Tuvalu,11925,0,0
Vatican,812,0,0
Wallis and Futuna,11094,0,0
